Drude mode fit to JC with eps_inf = 9.695 w_p = 8.959 gam = 0.073
1 0 0 2 3 = Specifies Epsilon
lambda	Re[eps] 	Img[eps]
0.4	1.2759512753021731	0.1983727602912714
0.401	1.233801871347973	0.19986372404841188
0.402	1.1915474602038483	0.20136213567165956
0.403	1.1491880436242	0.2028680136650158
0.404	1.1067236233677669	0.20438137653196595
0.405	1.0641542011976401	0.20590224277547722
0.406	1.021479778881245	0.2074306308979981
0.40700000000000003	0.9787003581903644	0.20896655940145648
0.40800000000000003	0.9358159409011133	0.21051004678725901
0.40900000000000003	0.8928265287939574	0.2120611115562894
0.41000000000000003	0.8497321236537054	0.2136197722089069
0.41100000000000003	0.8065327272695146	0.21518604724494575
0.41200000000000003	0.7632283414348713	0.21675995516371355
0.41300000000000003	0.7198189679476261	0.2183415144639895
0.41400000000000003	0.6763046086099536	0.21993074364402418
0.41500000000000004	0.6326852652283836	0.2215276612015372
0.41600000000000004	0.5889609396137807	0.22313228563371668
0.41700000000000004	0.545131633581363	0.2247446354372175
0.41800000000000004	0.5011973489506776	0.22636472910816052
0.41900000000000004	0.45715808754562737	0.22799258514213055
0.42000000000000004	0.4130138511944459	0.229628222034176
0.42100000000000004	0.36876464172971524	0.23127165827880694
0.42200000000000004	0.3244104609883589	0.232922912369994
0.42300000000000004	0.2799513108116365	0.23458200280116728
0.42400000000000004	0.2353871930451561	0.23624894806521474
0.42500000000000004	0.19071810953886725	0.2379237666544812
0.42600000000000005	0.14594406214705025	0.23960647706076693
0.42700000000000005	0.10106505272833743	0.24129709777532654
0.42800000000000005	0.056081083145697264	0.24299564728886758
0.42900000000000005	0.010992155266439596	0.24470214409154914
0.43000000000000005	-0.034201729037791395	0.24641660667298088
0.43100000000000005	-0.07950056789099946	0.24813905352222138
0.43200000000000005	-0.12490435941286293	0.2498695031277775
0.43300000000000005	-0.17041310171870272	0.251607973977602
0.43400000000000005	-0.21602679291951787	0.2533544845590937
0.43500000000000005	-0.2617454311219607	0.25510905335909506
0.43600000000000005	-0.30756901442834206	0.25687169886389133
0.43700000000000006	-0.35349754093663854	0.25864243955920946
0.43800000000000006	-0.3995310087404853	0.2604212939302164
0.43900000000000006	-0.4456694159291814	0.2622082804615182
0.44000000000000006	-0.49191276058768096	0.26400341763715834
0.44100000000000006	-0.5382610407966109	0.2658067239406172
0.44200000000000006	-0.5847142546322495	0.26761821785480977
0.44300000000000006	-0.631272400166548	0.2694379178620855
0.44400000000000006	-0.6779354754671125	0.27126584244422586
0.44500000000000006	-0.7247034785972097	0.27310201008244384
0.44600000000000006	-0.7715764076157807	0.27494643925738277
0.44700000000000006	-0.8185542605774145	0.2767991484491142
0.44800000000000006	-0.8656370355323784	0.27866015613713785
0.44900000000000007	-0.9128247305265891	0.28052948080037904
0.45000000000000007	-0.9601173436016435	0.2824071409171887
0.45100000000000007	-1.0075148727947845	0.2842931549653409
0.45200000000000007	-1.0550173161389331	0.2861875414220325
0.45300000000000007	-1.1026246716626655	0.2880903187638812
0.45400000000000007	-1.1503369373902324	0.2900015054669251
0.45500000000000007	-1.1981541113415322	0.2919211200066201
0.45600000000000007	-1.2460761915321505	0.29384918085784056
